500.000000, 0.014074, 0.003606, 0.014146
503.503504, 0.014507, 0.003648, 0.014720
507.007007, 0.014960, 0.003690, 0.015333
510.510511, 0.015437, 0.003734, 0.015991
514.014014, 0.015937, 0.003778, 0.016697
517.517518, 0.016463, 0.003824, 0.017456
521.021021, 0.017016, 0.003870, 0.018274
524.524525, 0.017598, 0.003917, 0.019157
528.028028, 0.018212, 0.003965, 0.020112
531.531532, 0.018860, 0.004014, 0.021148
535.035035, 0.019543, 0.004064, 0.022273
538.538539, 0.020266, 0.004115, 0.023499
542.042042, 0.021031, 0.004168, 0.024837
545.545546, 0.021842, 0.004221, 0.026303
549.049049, 0.022701, 0.004275, 0.027913
552.552553, 0.023614, 0.004331, 0.029687
556.056056, 0.024585, 0.004388, 0.031648
559.559560, 0.025618, 0.004446, 0.033822
563.063063, 0.026719, 0.004505, 0.036243
566.566567, 0.027895, 0.004566, 0.038949
570.070070, 0.029152, 0.004628, 0.041987
573.573574, 0.030497, 0.004692, 0.045414
577.077077, 0.031940, 0.004757, 0.049298
580.580581, 0.033490, 0.004823, 0.053726
584.084084, 0.035158, 0.004891, 0.058802
587.587588, 0.036957, 0.004961, 0.064660
591.091091, 0.038899, 0.005032, 0.071468
594.594595, 0.041001, 0.005105, 0.079443
598.098098, 0.043282, 0.005180, 0.088866
601.601602, 0.045761, 0.005257, 0.100106
605.105105, 0.048462, 0.005336, 0.113660
608.608609, 0.051413, 0.005416, 0.130202
612.112112, 0.054645, 0.005499, 0.150666
615.615616, 0.058195, 0.005584, 0.176379
619.119119, 0.062106, 0.005670, 0.209263
622.622623, 0.066430, 0.005760, 0.252188
626.126126, 0.071224, 0.005851, 0.309564
629.629630, 0.076560, 0.005945, 0.388403
633.133133, 0.082523, 0.006042, 0.500269
636.636637, 0.089213, 0.006141, 0.664963
640.140140, 0.096754, 0.006243, 0.917447
643.643644, 0.105294, 0.006348, 1.319551
647.147147, 0.115017, 0.006456, 1.969266
650.650651, 0.126149, 0.006567, 2.939449
